Year,Actual Temp (Celsius)
1880,13.7852
1881,13.8372
1882,13.8352
1883,13.7576
1884,13.6991
1885,13.6875
1886,13.6997
1887,13.6511
1888,13.7529
1889,13.8018
1890,13.578
1891,13.6468
1892,13.5938
1893,13.5788
1894,13.6192
1895,13.671
1896,13.8026
1897,13.7776
1898,13.6454
1899,13.7827
1900,13.8321
1901,13.7583
1902,13.6537
1903,13.5631
1904,13.4806
1905,13.6069
1906,13.6826
1907,13.5294
1908,13.4604
1909,13.4739
1910,13.5211
1911,13.4668
1912,13.5712
1913,13.5838
1914,13.7605
1915,13.8307
1916,13.607
1917,13.5854
1918,13.6916
1919,13.6945
1920,13.6895
1921,13.7515
1922,13.6696
1923,13.6844
1924,13.6514
1925,13.7519
1926,13.8333
1927,13.7454
1928,13.7226
1929,13.6015
1930,13.7997
1931,13.8314
1932,13.7832
1933,13.6561
1934,13.7985
1935,13.7608
1936,13.7866
1937,13.8843
1938,13.8712
1939,13.8861
1940,13.9947
1941,14.096
1942,14.0538
1943,14.057
1944,14.1928
1945,14.071
1946,13.896
1947,13.8523
1948,13.3813
1949,13.8432
1950,13.7384
1951,13.8868
1952,13.9248
1953,13.9952
1954,13.7835
1955,13.7646
1956,13.701
1957,13.9488
1958,14.0095
1959,13.9596
1960,13.9204
1961,13.9775
1962,13.9888
1963,14.0068
1964,13.7505
1965,13.822
1966,13.8773
1967,13.8869
1968,13.8704
1969,13.9929
1970,13.9372
1971,13.8217
1972,13.9264
1973,14.0641
1974,13.8281
1975,13.9034
1976,13.8208
1977,13.0978
1978,14.0123
1979,14.1273
1980,14.1637
1981,14.1999
1982,14.0815
1983,14.2411
1984,14.049
1985,14.0342
1986,14.1296
1987,14.2696
1988,14.2757
1989,14.197
1990,14.3328
1991,14.3055
1992,14.1571
1993,14.1853
1994,14.2409
1995,14.3577
1996,14.2228
1997,14.4187
1998,14.5344
1999,14.3438
2000,14.3262
2001,14.4473
2002,14.5023
2003,14.5134
2004,14.4783
2005,14.5585
2006,14.5125
2007,14.51
2008,14.4419
2009,14.5367
2010,14.6014
2011,14.4788
2012,14.524
2013,14.5679
2014,14.6408
2015,14.7998
2016,14.8363
